source_id,citation_key,title,author,year,publisher_or_institution,source_type,primary_or_secondary,peer_reviewed,language,geography,doi,stable_url,accessed_at,full_text_status,open_access_status,rights_status,local_filename,sha256,pages_reviewed,intended_use,limitations
S38,customs1971,Imported Balisong Knives,U.S. Customs Service,1971,Federal Register / GovInfo,official notice,primary,no,English,United States,,https://www.govinfo.gov/content/pkg/FR-1971-05-21/pdf/FR-1971-05-21.pdf,2026-09-01,verified_full_text,open_downloaded,public domain official record,federal-register-1971-05-21.pdf,79c0eff26e4d14bbd26eaf12de20c8bca1f500d5268030519238ece1b07b4e1c,"36 Fed. Reg. 9263 (May 21, 1971), PDF folio 71",legal chronology,Contains controlled descriptive matter omitted from public prose.
S39,taylor1988,Taylor v. United States,United States Court of Appeals for the Sixth Circuit,1988,Federal Reporter,judicial opinion,primary,no,English,United States,,https://openjurist.org/848/f2d/715,2026-09-01,verified_full_text,public_web,public judicial opinion,,,"848 F.2d 715, full opinion",legal classification,Contains controlled mechanism description omitted.
S40,riddall1991,State v. Riddall,New Mexico Court of Appeals,1991,New Mexico Reports,judicial opinion,primary,no,English,"New Mexico, United States",,https://law.justia.com/cases/new-mexico/court-of-appeals/1991/11928-2.html,2026-09-01,verified_full_text,public_web,public judicial opinion,,,"112 N.M. 78; 811 P.2d 576, majority and dissent",legal disagreement,Operational facts omitted.
S41,strange1990,State v. Strange,Alaska Court of Appeals,1990,Pacific Reporter,judicial opinion,primary,no,English,"Alaska, United States",,https://law.justia.com/cases/alaska/court-of-appeals/1990/a-2637-0.html,2026-09-01,verified_full_text,public_web,public judicial opinion,,,"785 P.2d 563, full opinion",legal comparison,Controlled descriptive detail omitted.
S42,quattrone1989,People v. Quattrone,California Court of Appeal,1989,California Reporter,judicial opinion,primary,no,English,"California, United States",,https://caselaw.findlaw.com/court/ca-court-of-appeal/1845936.html,2026-09-01,verified_full_text,public_web,public judicial opinion,,,"211 Cal. App. 3d 1389; 260 Cal. Rptr. 44, full opinion",legal comparison,Operational detail omitted.
S43,caag1986,Opinion No. 85-902,Office of the Attorney General of California,1986,California Department of Justice,attorney-general opinion,primary,no,English,"California, United States",,https://oag.ca.gov/system/files/opinions/pdfs/85-902_0.pdf,2026-09-01,verified_full_text,open_downloaded,public official PDF,california-ag-85-902.pdf,343b0b5e503fd0be3f72973bf388429b8f32a9cacc7cba727cb60178f8f52482,"69 Ops. Cal. Atty. Gen. 29, five-page opinion",legal chronology,Controlled descriptive detail omitted.
S44,usdoj1988,"United States Attorneys’ Bulletin, July 15, 1988",U.S. Department of Justice,1988,U.S. Department of Justice,government bulletin,primary,no,English,United States,,https://www.justice.gov/sites/default/files/usao/legacy/2010/10/12/usab3607.pdf,2026-09-01,verified_full_text,open_downloaded,public domain official PDF,doj-usab-1988-07.pdf,8e31a38b08b1b04e6e15d27c66b62e6329c2520767e1caabd8c5ee8f4552ceeb,"vol. 36, no. 7, case note section",legal procedural context,"Use alongside, not instead of, the opinion."
S45,lasanas1987,People v. Lasanas,Supreme Court of the Philippines,1987,Lawphil / Supreme Court,judicial opinion,primary,no,English,Philippines,,https://lawphil.net/judjuris/juri1987/jul1987/gr_l-48879_1987.html,2026-09-01,verified_full_text,public_web,public official opinion,,,"G.R. Nos. L-48879-82, full opinion",Philippine legal vocabulary,Violent case facts and operational detail omitted.
S46,us1044case1970,"United States v. 1,044 Balisong Knives",United States District Court for the District of Oregon,1970,Federal district court,judicial opinion,primary,no,English,"Oregon, United States",,,2026-09-01,metadata_only,not_downloaded,unknown,,,citation in 1971 Federal Register only,legal discovery,Not represented as read.
S47,taalproducts2013,Products,Municipality of Taal,2013,Municipality of Taal,tourism page,secondary,no,English,"Taal, Batangas",,https://news.taal.gov.ph/tourism/products/,2026-09-01,verified_full_text,public_web,institutional web page,,,full page,excluded promotional,Excluded from final paper.
S48,jansen1880,"Clasp-Knife, U.S. Patent 229,706",Edmund Jansen,1880,U.S. Patent Office,patent metadata,primary,no,English,United States,,https://patents.google.com/patent/US229706A/en,2026-09-01,metadata_only,not_downloaded,public domain metadata,,,bibliographic metadata only,excluded technical source,Excluded technical content.
S49,carah2018,"Algorithmic Brand Culture: Participatory Labour, Machine Learning and Branding on Social Media",Nicholas Carah and Daniel Angus,2018,"Media, Culture & Society",journal article,secondary,yes,English,Global,10.1177/0163443718754648,https://doi.org/10.1177/0163443718754648,2026-09-01,abstract_only,not_downloaded,metadata only,,,publisher abstract only,background only,Not used in this draft.
S50,cover2012,Performing and Undoing Identity Online,Rob Cover,2012,Convergence,journal article,secondary,yes,English,Global,10.1177/1354856511433684,https://doi.org/10.1177/1354856511433684,2026-09-01,verified_full_text,public_web,publisher web text,,,full publisher HTML,background only,Not used in final draft.
