source_id,citation_key,full_citation,source_category,source_tier,primary_or_secondary,peer_reviewed,institution,geographic_perspective,publication_year,historical_proximity,author_expertise,full_text_status,pages_or_sections_read,central_argument,evidence_contributed,possible_bias,source_dependencies,rights_status,usable_for_publication,limitations,verification_status
S12,nayongbrochure1969,"Philippine Tourist and Travel Association; Board of Travel and Tourist Industry. “Ang Nayong Pilipino, the Philippine Village.” CiNii / Kyoto University CSEAS catalogue, 1969.",government tourism brochure,A,primary,no,CiNii / Kyoto University CSEAS catalogue,Philippines,1969,contemporaneous,CiNii / Kyoto University CSEAS catalogue,metadata_only,catalogue metadata only,Historic government-tourism brochure.,Dated bibliographic anchor for later scholarly citation chain.,Original not acquired; no quotation or direct claim taken from it.,independent unless limitation notes a citation chain,metadata only,no,Not represented as read.,metadata_only
S13,batangashistorical1953,"Local historical-data transcription. “History and Cultural Life of Balisong, Bauan, Batangas.” National Library historical data transcription, 1953.",archival transcription,D,primary,no,National Library historical data transcription,"Bauan, Batangas",1953,contemporaneous,National Library historical data transcription,verified_partial,full transcription; provenance note,Local history of a different Barangay Balisong.,Search-control source preventing conflation of Bauan and Taal place names.,Third-party transcription; unrelated to strong object claims.,independent unless limitation notes a citation chain,unknown,no,Excluded from core evidence.,verified_partial
S14,metluzonknife1999,"The Metropolitan Museum of Art. “Knife, Luzon Island, late 19th–early 20th century.” Metropolitan Museum of Art, 1999.",museum object record,A,primary,no,Metropolitan Museum of Art,Luzon,1999,contemporaneous,Metropolitan Museum of Art,metadata_only,object metadata only,Catalogues a Luzon knife without identifying it as a balisong.,Demonstrates limits of typological attribution from museum metadata.,Not balisong evidence; image reuse unavailable; dimensions excluded.,independent unless limitation notes a citation chain,restricted image / metadata public,yes,"Metadata-only counterexample, not a form comparison.",metadata_only
S15,gonzalez2017,"Patricia Gonzalez. “Safeguarding Pabalat-Wrapped Pastillas in the Philippines: Problems and Possibilities of Community Participation.” Ateneo de Manila University, 2017.",journal article,B,secondary,yes,Ateneo de Manila University,Philippines,2017,later analysis,Ateneo de Manila University,verified_partial,institutional abstract and citation metadata,"Heritage safeguarding involves multiple communities, politics, ownership, tourism, and institutional mediation.",Philippine comparative case that checks simple preservation narratives.,"Different craft form; article file access was blocked, so claims remain abstract-level.",independent unless limitation notes a citation chain,abstract public,yes,Used only for the article abstract’s stated argument.,verified_partial
S16,appadurai1986,"Arjun Appadurai, ed.. The Social Life of Things: Commodities in Cultural Perspective. Cambridge University Press, 1986.",edited scholarly book,B,secondary,yes,Cambridge University Press,Global,1986,later analysis,Cambridge University Press,verified_partial,publisher introduction preview and metadata,Things acquire meaning through socially regulated circulation and exchange.,Object itinerary framework.,Full book not locally acquired.,independent unless limitation notes a citation chain,copyrighted preview,yes,"Used for framework, not object facts.",verified_partial
S17,kopytoff1986,"Igor Kopytoff. “The Cultural Biography of Things: Commoditization as Process.” Cambridge University Press, 1986.",book chapter,B,secondary,yes,Cambridge University Press,Global,1986,later analysis,Cambridge University Press,verified_partial,publisher preview; chapter range pp. 64–92,Classification and value change across a thing’s cultural biography.,Analytical vocabulary for reclassification across social worlds.,Only publisher preview was inspected; no invented pinpoint beyond published chapter range.,independent unless limitation notes a citation chain,copyrighted preview,yes,Methodological use only.,verified_partial
S18,stargriesemer1989,"Susan Leigh Star and James R. Griesemer. “Institutional Ecology, “Translations” and Boundary Objects: Amateurs and Professionals in Berkeley’s Museum of Vertebrate Zoology, 1907–39.” SAGE / University of California, 1989.",journal article,B,secondary,yes,SAGE / University of California,United States,1989,later analysis,SAGE / University of California,verified_full_text,pp. 387–420; especially 388–393 and 408–414,Boundary objects are adaptable across social worlds yet maintain recognizable identity.,Boundary-object framework and its limits.,Case differs from balisong; analogy requires argument.,independent unless limitation notes a citation chain,repository research copy,yes,"Used conceptually, not as empirical object history.",verified_full_text
S19,gosdenmarshall1999,"Chris Gosden and Yvonne Marshall. “The Cultural Biography of Objects.” World Archaeology / Routledge, 1999.",journal article,B,secondary,yes,World Archaeology / Routledge,Global,1999,later analysis,World Archaeology / Routledge,verified_full_text,pp. 169–178,Object meanings emerge from relations and biographies rather than fixed essences.,Refines object-biography method.,"Broad archaeological theory, not balisong-specific.",independent unless limitation notes a citation chain,repository research copy,yes,Conceptual source only.,verified_full_text
S20,dyer2021,"Serena Dyer. “State of the Field: Material Culture.” History / Wiley, 2021.",journal article,B,secondary,yes,History / Wiley,Global,2021,later analysis,History / Wiley,verified_full_text,"pp. 282–292, full open article",Material-culture history requires distinct object literacies and critical interpretation.,Methodological caution against treating objects as mere illustration.,"Field survey, not object-specific.",independent unless limitation notes a citation chain,open access,yes,Conceptual source only.,verified_full_text
S21,drazin2021,"Adam Drazin. “The Object Biography.” Routledge, 2021.",open-access book chapter,B,secondary,yes,Routledge,Global,2021,later analysis,Routledge,verified_full_text,"open chapter, full text",Explains object biography as a material-culture research strategy.,Methodological triangulation.,General handbook chapter.,independent unless limitation notes a citation chain,open access,yes,Conceptual source only.,verified_full_text
S22,smith2012,"Laurajane Smith. “Discourses of Heritage: Implications for Archaeological Community Practice.” Nuevo Mundo Mundos Nuevos, 2012.",journal article,B,secondary,yes,Nuevo Mundo Mundos Nuevos,Global,2012,later analysis,Nuevo Mundo Mundos Nuevos,verified_full_text,full open HTML,Authorized heritage discourse privileges expert and institutional values.,Counterargument that heritage labels reshape rather than simply preserve identity.,"Archaeological/community heritage context, not Batangas-specific.",independent unless limitation notes a citation chain,CC BY-NC-ND 4.0 text,yes,Conceptual comparison only.,verified_full_text
S23,unescoCraft,"UNESCO. “Traditional Craftsmanship.” UNESCO Intangible Cultural Heritage, n.d..",intergovernmental guidance,A,secondary,no,UNESCO Intangible Cultural Heritage,Global,n.d.,later analysis,UNESCO Intangible Cultural Heritage,verified_full_text,full official page,"Safeguarding craft emphasizes skills, knowledge, transmission, and viable conditions.",Institutional vocabulary for living craft.,Not a designation of the balisong; global policy frame.,independent unless limitation notes a citation chain,official web page,yes,Must not imply UNESCO recognition of this object.,verified_full_text
S24,unescoICH,"UNESCO. “What Is Intangible Cultural Heritage?.” UNESCO Intangible Cultural Heritage, n.d..",intergovernmental guidance,A,secondary,no,UNESCO Intangible Cultural Heritage,Global,n.d.,later analysis,UNESCO Intangible Cultural Heritage,verified_full_text,full official page,"ICH is community-recognized, transmitted, and recreated rather than static.",Framework for dynamic heritage claims.,Not evidence of local designation.,independent unless limitation notes a citation chain,official web page,yes,Must not imply UNESCO recognition.,verified_full_text
S25,hekkert2006,"Paul Hekkert. “Design Aesthetics: Principles of Pleasure in Design.” Psychology Science / TU Delft, 2006.",journal article,B,secondary,yes,Psychology Science / TU Delft,Global,2006,later analysis,Psychology Science / TU Delft,verified_full_text,pp. 157–172,Distinguishes sensory aesthetic experience and proposes principles of aesthetic pleasure.,"Careful basis for discussing perceptible unity, rhythm, and transformation.",General design theory; not evidence of balisong reception.,independent unless limitation notes a citation chain,repository research copy,yes,No deterministic application.,verified_full_text
S26,rosswensveen2010,"Philip Ross and Stephan Wensveen. “Designing Behavior in Interaction: Using Aesthetic Experience as a Mechanism for Design.” International Journal of Design, 2010.",journal article,B,secondary,yes,International Journal of Design,Global,2010,later analysis,International Journal of Design,verified_full_text,"vol. 4, no. 2, pp. 3–13","Behavior and interaction can be material in aesthetic experience, not only static appearance.",Interaction-aesthetics framework.,Design cases differ from historical object; analogy is interpretive.,independent unless limitation notes a citation chain,open journal access,yes,No technical inference.,verified_full_text
S27,vandijkrietveld2017,"Sanneke van Dijk and Erik Rietveld. “Foregrounding Sociomaterial Practice in Our Understanding of Affordances: The Skilled Intentionality Framework.” Frontiers in Psychology, 2017.",journal article,B,secondary,yes,Frontiers in Psychology,Global,2017,later analysis,Frontiers in Psychology,verified_full_text,"article 1969, full text",Affordances are understood through sociomaterial practices and situated abilities.,Supports enabling-affordance rather than design-determinist thesis.,"Philosophical framework, not object history.",independent unless limitation notes a citation chain,CC BY,yes,Conceptual source only.,verified_full_text
S28,ramstead2016,"Maxwell J. D. Ramstead, Samuel P. L. Veissière, and Laurence J. Kirmayer. “Cultural Affordances: Scaffolding Local Worlds through Shared Intentionality and Regimes of Attention.” Frontiers in Psychology, 2016.",journal article,B,secondary,yes,Frontiers in Psychology,Global,2016,later analysis,Frontiers in Psychology,verified_full_text,"vol. 7, article 1090, full text","Cultural affordances depend on shared expectations, conventions, practices, and attention.",Explains why the same movement may mean differently across communities.,Conceptual and computational framework; analogy is authorial.,independent unless limitation notes a citation chain,CC BY,yes,No claim that form alone produces culture.,verified_full_text
S29,rietveldkiverstein2014,"Erik Rietveld and Julian Kiverstein. “A Rich Landscape of Affordances.” Ecological Psychology, 2014.",journal article,B,secondary,yes,Ecological Psychology,Global,2014,later analysis,Ecological Psychology,verified_full_text,"pp. 325–352, full open article",Affordances relate environmental possibilities to abilities within forms of life.,Keeps object/user/context relational.,"Broad theory, not object history.",independent unless limitation notes a citation chain,open article,yes,Conceptual source only.,verified_full_text
S30,petersen2004,"Marianne Graves Petersen et al.. “Aesthetic Interaction: A Pragmatist’s Aesthetics of Interactive Systems.” ACM DIS, 2004.",conference paper,B,secondary,yes,ACM DIS,Global,2004,later analysis,ACM DIS,abstract_only,publisher abstract and metadata,Interaction aesthetics can emphasize use and situated experience.,Design-research lead.,Full text not lawfully acquired for this review.,independent unless limitation notes a citation chain,metadata only,no,Not used for a strong claim.,abstract_only
S31,parsonscarlson2008,"Glenn Parsons and Allen Carlson. Functional Beauty. Oxford University Press, 2008.",scholarly book,B,secondary,yes,Oxford University Press,Global,2008,later analysis,Oxford University Press,verified_partial,publisher abstract and preview,Examines aesthetic appreciation in relation to function.,Background for functional beauty vocabulary.,No full book acquired; not used for object-specific claim.,independent unless limitation notes a citation chain,copyrighted preview,no,Background only in this draft.,verified_partial
S32,xenakisarnellos2013,"Ioannis Xenakis and Argyris Arnellos. “The Relation between Interaction Aesthetics and Affordances.” Design Studies, 2013.",journal article,B,secondary,yes,Design Studies,Global,2013,later analysis,Design Studies,abstract_only,abstract and metadata,Relates interaction aesthetics and affordance theory.,Research lead.,Full text not acquired.,independent unless limitation notes a citation chain,metadata only,no,Excluded from substantive citation.,abstract_only
S33,jenkins2006,"Henry Jenkins et al.. “Confronting the Challenges of Participatory Culture: Media Education for the 21st Century.” MacArthur Foundation, 2006.",research report,B,secondary,yes,MacArthur Foundation,United States,2006,later analysis,MacArthur Foundation,verified_full_text,pp. 3–9 and 22–55,"Participatory culture links creation, circulation, informal mentorship, peer feedback, and social connection.",Framework for analyzing mediated performance and circulation.,Youth/media-education context; no balisong-specific ethnography.,independent unless limitation notes a citation chain,open public PDF,yes,Applied as a qualified analogy.,verified_full_text
S34,farnsworth2016,"Vanessa Farnsworth, Irene Kleanthous, and Etienne Wenger-Trayner. “Communities of Practice as a Social Theory of Learning: A Conversation with Etienne Wenger.” British Journal of Educational Studies, 2016.",journal article,B,secondary,yes,British Journal of Educational Studies,Global,2016,later analysis,British Journal of Educational Studies,verified_full_text,"pp. 139–160, accepted manuscript","Participation, competence, identity, power, and boundaries co-produce communities of practice.",Checks simplistic peer-learning claims.,General learning theory; not empirical evidence about balisong communities.,independent unless limitation notes a citation chain,accepted manuscript,yes,Conceptual source only.,verified_full_text
S35,cox2005,"Andrew Cox. “What Are Communities of Practice? A Comparative Review of Four Seminal Works.” Journal of Information Science / White Rose, 2005.",journal article,B,secondary,yes,Journal of Information Science / White Rose,Global,2005,later analysis,Journal of Information Science / White Rose,verified_full_text,full repository article,Compares divergent uses of community-of-practice theory and stresses tensions around participation and identity.,Critical check against treating any online audience as a coherent community.,Conceptual review; not object-specific.,independent unless limitation notes a citation chain,repository copy,yes,Applied cautiously.,verified_full_text
S36,wenger2000,"Etienne Wenger. “Communities of Practice and Social Learning Systems.” Organization, 2000.",journal article,B,secondary,yes,Organization,Global,2000,later analysis,Organization,abstract_only,abstract and metadata,Positions communities of practice within social learning systems.,Background lead.,Full text not acquired in this review.,independent unless limitation notes a citation chain,metadata only,no,Not used as direct evidence.,abstract_only
S37,usc1241,"United States Congress. “15 U.S.C. § 1241: Definitions.” Office of the Law Revision Counsel, U.S. House, 2026.",statute,A,primary,no,"Office of the Law Revision Counsel, U.S. House",United States,2026,later analysis,"Office of the Law Revision Counsel, U.S. House",verified_full_text,section 1241; laws in effect 2026-08-29,Federal statute defines the regulated category through specified opening mechanisms.,Primary legal evidence that motion enters classification language.,Federal historical/conceptual scope only; no personal legal guidance.,independent unless limitation notes a citation chain,public domain official text,yes,Status must be rechecked after as-of date.,verified_full_text
S38,customs1971,"U.S. Customs Service. “Imported Balisong Knives.” Federal Register / GovInfo, 1971.",official notice,A,primary,no,Federal Register / GovInfo,United States,1971,contemporaneous,Federal Register / GovInfo,verified_full_text,"36 Fed. Reg. 9263 (May 21, 1971), PDF folio 71",Customs acknowledged a district-court ruling yet limited its reach to the litigated merchandise pending interpretation.,Contemporaneous official evidence of administrative classification uncertainty.,Administrative notice; not a complete account of later law.,independent unless limitation notes a citation chain,public domain official record,yes,Contains controlled descriptive matter omitted from public prose.,verified_full_text
S39,taylor1988,"United States Court of Appeals for the Sixth Circuit. “Taylor v. United States.” Federal Reporter, 1988.",judicial opinion,A,primary,no,Federal Reporter,United States,1988,contemporaneous,Federal Reporter,verified_full_text,"848 F.2d 715, full opinion",Appellate court treated the Customs classification as a permissible reading of federal language.,Primary adjudicative evidence of dynamic classification.,Procedural and statutory context must be preserved; not current-user advice.,independent unless limitation notes a citation chain,public judicial opinion,yes,Contains controlled mechanism description omitted.,verified_full_text
S40,riddall1991,"New Mexico Court of Appeals. “State v. Riddall.” New Mexico Reports, 1991.",judicial opinion,A,primary,no,New Mexico Reports,"New Mexico, United States",1991,contemporaneous,New Mexico Reports,verified_full_text,"112 N.M. 78; 811 P.2d 576, majority and dissent",Majority and dissent classified the same object differently under statutory language.,Direct evidence of legal category instability.,Historical state case; does not state present statewide rules.,independent unless limitation notes a citation chain,public judicial opinion,yes,Operational facts omitted.,verified_full_text
S41,strange1990,"Alaska Court of Appeals. “State v. Strange.” Pacific Reporter, 1990.",judicial opinion,A,primary,no,Pacific Reporter,"Alaska, United States",1990,contemporaneous,Pacific Reporter,verified_full_text,"785 P.2d 563, full opinion",Court declined to include the object in undefined statutory terms.,Comparative primary evidence of a different classificatory outcome.,Historical case; no present-user guidance.,independent unless limitation notes a citation chain,public judicial opinion,yes,Controlled descriptive detail omitted.,verified_full_text
S42,quattrone1989,"California Court of Appeal. “People v. Quattrone.” California Reporter, 1989.",judicial opinion,A,primary,no,California Reporter,"California, United States",1989,contemporaneous,California Reporter,verified_full_text,"211 Cal. App. 3d 1389; 260 Cal. Rptr. 44, full opinion",Court included butterfly knives within the statute then before it.,Comparative primary evidence.,Historical statutory context differs from present law.,independent unless limitation notes a citation chain,public judicial opinion,yes,Operational detail omitted.,verified_full_text
S43,caag1986,"Office of the Attorney General of California. “Opinion No. 85-902.” California Department of Justice, 1986.",attorney-general opinion,A,primary,no,California Department of Justice,"California, United States",1986,contemporaneous,California Department of Justice,verified_full_text,"69 Ops. Cal. Atty. Gen. 29, five-page opinion",Official legal opinion analyzed statutory classification before later appellate treatment.,Primary official evidence of institutional interpretation.,Advisory opinion in historical statutory context.,independent unless limitation notes a citation chain,public official PDF,yes,Controlled descriptive detail omitted.,verified_full_text
S44,usdoj1988,"U.S. Department of Justice. “United States Attorneys’ Bulletin, July 15, 1988.” U.S. Department of Justice, 1988.",government bulletin,A,primary,no,U.S. Department of Justice,United States,1988,contemporaneous,U.S. Department of Justice,verified_full_text,"vol. 36, no. 7, case note section",Contemporaneous Justice Department reporting placed Taylor within enforcement/legal interpretation history.,Government context for procedural chronology.,"Executive-branch perspective, not independent adjudication.",independent unless limitation notes a citation chain,public domain official PDF,yes,"Use alongside, not instead of, the opinion.",verified_full_text
S45,lasanas1987,"Supreme Court of the Philippines. “People v. Lasanas.” Lawphil / Supreme Court, 1987.",judicial opinion,A,primary,no,Lawphil / Supreme Court,Philippines,1987,contemporaneous,Lawphil / Supreme Court,verified_full_text,"G.R. Nos. L-48879-82, full opinion",Opinion reproduces historical legal language in which balisong appears as a named category.,Philippine primary evidence of legal vocabulary in a specific historical context.,"Not an object-design, origin, or current legality case.",independent unless limitation notes a citation chain,public official opinion,yes,Violent case facts and operational detail omitted.,verified_full_text
S46,us1044case1970,"United States District Court for the District of Oregon. “United States v. 1,044 Balisong Knives.” Federal district court, 1970.",judicial opinion,A,primary,no,Federal district court,"Oregon, United States",1970,contemporaneous,Federal district court,metadata_only,citation in 1971 Federal Register only,District-court decision triggered the 1971 Customs notice.,Citation-chain node.,Opinion itself was not acquired; no independent holding quotation.,independent unless limitation notes a citation chain,unknown,no,Not represented as read.,metadata_only
S47,taalproducts2013,"Municipality of Taal. “Products.” Municipality of Taal, 2013.",tourism page,C,secondary,no,Municipality of Taal,"Taal, Batangas",2013,later analysis,Municipality of Taal,verified_full_text,full page,Lists local products in a tourism frame.,Candidate context only.,Promotional and purchasing-adjacent language; excluded from evidence.,independent unless limitation notes a citation chain,institutional web page,no,Excluded from final paper.,verified_full_text
S48,jansen1880,"Edmund Jansen. “Clasp-Knife, U.S. Patent 229,706.” U.S. Patent Office, 1880.",patent metadata,A,primary,no,U.S. Patent Office,United States,1880,contemporaneous,U.S. Patent Office,metadata_only,bibliographic metadata only,Dated comparative mechanism record.,Potential chronology lead only.,Technical document intentionally not downloaded or analyzed; cannot prove transmission.,independent unless limitation notes a citation chain,public domain metadata,no,Excluded technical content.,metadata_only
S49,carah2018,"Nicholas Carah and Daniel Angus. “Algorithmic Brand Culture: Participatory Labour, Machine Learning and Branding on Social Media.” Media, Culture & Society, 2018.",journal article,B,secondary,yes,"Media, Culture & Society",Global,2018,later analysis,"Media, Culture & Society",abstract_only,publisher abstract only,Brand culture and platform algorithms shape participatory mediation.,Possible platformization frame.,Abstract only and no object-specific empirical evidence.,independent unless limitation notes a citation chain,metadata only,no,Not used in this draft.,abstract_only
S50,cover2012,"Rob Cover. “Performing and Undoing Identity Online.” Convergence, 2012.",journal article,B,secondary,yes,Convergence,Global,2012,later analysis,Convergence,verified_full_text,full publisher HTML,Online profiles and relations are performative identity practices.,Supplementary digital-identity frame.,Different platform practices; omitted to avoid over-theorization.,independent unless limitation notes a citation chain,publisher web text,no,Not used in final draft.,verified_full_text
